apprehension_state,ice_arrests
ALABAMA,10367
ALASKA,209
ARIZONA,16207
ARKANSAS,6894
ARMED FORCES - EUROPE,3
ARMED FORCES - THE AMERICAS,141
ARMED SERVICES - PACIFIC,5
CALIFORNIA,49992
CHIAPAS,1
COLORADO,9650
CONNECTICUT,1439
DELAWARE,1288
DISTRICT OF COLUMBIA,1779
FEDERATED STATES OF MICRONESIA,21
FLORIDA,53945
GEORGIA,18886
GUAM,84
HAWAII,433
IDAHO,1627
ILLINOIS,10967
INDIANA,8322
IOWA,2967
KANSAS,4027
KENTUCKY,6340
LOUISIANA,11887
MAINE,1641
MARYLAND,10064
MASSACHUSETTS,14579
MEXICO,1
MICHIGAN,6838
MINNESOTA,8235
MISSISSIPPI,6468
MISSOURI,5457
MONTANA,279
NEBRASKA,3854
NEVADA,4606
NEW HAMPSHIRE,874
NEW JERSEY,24487
NEW MEXICO,4846
NEW YORK,30726
NORTH CAROLINA,10448
NORTH DAKOTA,462
NORTHERN MARIANA ISLANDS,160
OHIO,7812
OKLAHOMA,10406
OREGON,2309
OTHER,2
PENNSYLVANIA,12358
PUERTO RICO,1560
RHODE ISLAND,1417
SOUTH CAROLINA,8454
SOUTH DAKOTA,776
TAMAULIPAS,1
TENNESSEE,16741
TEXAS,153478
UTAH,7817
VERMONT,129
VIRGIN ISLANDS,306
VIRGINIA,15027
WASHINGTON,7566
WEST VIRGINIA,2772
WISCONSIN,4219
WYOMING,1432
